Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,Degree of urbanisation,UNIT_MEASURE,Value
2016,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Viet Nam,,Percent,9.2
2017,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Viet Nam,,Percent,7.9
2018,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Viet Nam,,Percent,6.8
2019,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Viet Nam,,Percent,5.7
2016,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Viet Nam,Urban,Percent,3.5
2017,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Viet Nam,Urban,Percent,2.7
2018,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Viet Nam,Urban,Percent,1.5
2019,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Viet Nam,Urban,Percent,1.2
2016,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Viet Nam,Rural,Percent,11.8
2017,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Viet Nam,Rural,Percent,10.8
2018,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Viet Nam,Rural,Percent,9.6
2019,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Viet Nam,Rural,Percent,8.0
2016,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Red River Delta,,Percent,3.1
2017,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Red River Delta,,Percent,2.6
2018,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Red River Delta,,Percent,1.9
2019,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Red River Delta,,Percent,1.6
2016,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Northern midlands and mountain areas,,Percent,23.0
2017,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Northern midlands and mountain areas,,Percent,21.0
2018,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Northern midlands and mountain areas,,Percent,18.4
2019,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Northern midlands and mountain areas,,Percent,16.4
2016,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Northern Central area and Central coastal area,,Percent,11.6
2017,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Northern Central area and Central coastal area,,Percent,10.2
2018,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Northern Central area and Central coastal area,,Percent,8.7
2019,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Northern Central area and Central coastal area,,Percent,7.4
2016,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Central Highlands,,Percent,18.5
2017,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Central Highlands,,Percent,17.1
2018,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Central Highlands,,Percent,13.9
2019,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Central Highlands,,Percent,12.4
2016,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],South East,,Percent,1.0
2017,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],South East,,Percent,0.9
2018,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],South East,,Percent,0.6
2019,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],South East,,Percent,0.5
2016,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Mekong River Delta,,Percent,8.6
2017,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Mekong River Delta,,Percent,7.4
2018,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Mekong River Delta,,Percent,5.8
2019,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Mekong River Delta,,Percent,4.8
2016,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Ha Noi,,Percent,1.4
2017,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Ha Noi,,Percent,1.3
2018,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Ha Noi,,Percent,0.9
2019,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Ha Noi,,Percent,0.7
2016,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Vinh Phuc,,Percent,5.1
2017,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Vinh Phuc,,Percent,4.5
2018,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Vinh Phuc,,Percent,3.4
2019,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Vinh Phuc,,Percent,2.9
2016,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Bac Ninh,,Percent,1.9
2017,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Bac Ninh,,Percent,1.4
2018,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Bac Ninh,,Percent,1.1
2019,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Bac Ninh,,Percent,0.8
2016,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Quang Ninh,,Percent,4.3
2017,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Quang Ninh,,Percent,3.8
2018,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Quang Ninh,,Percent,2.5
2019,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Quang Ninh,,Percent,2.2
