Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,Age,Degree of urbanisation,UNIT_MEASURE,Value
2011,Normal value,Units,Not Available,Annual,National,Proportion of children under 5 years of age whose births have been registered with a civil authority [16.9.1],Viet Nam,under 5 years old,,Percent,95.0
2014,Normal value,Units,Not Available,Annual,National,Proportion of children under 5 years of age whose births have been registered with a civil authority [16.9.1],Viet Nam,under 5 years old,,Percent,96.1
2019,Normal value,Units,Not Available,Annual,National,Proportion of children under 5 years of age whose births have been registered with a civil authority [16.9.1],Viet Nam,under 5 years old,,Percent,98.8
2019,Normal value,Units,Not Available,Annual,National,Proportion of children under 5 years of age whose births have been registered with a civil authority [16.9.1],Viet Nam,under 5 years old,Urban,Percent,99.3
2019,Normal value,Units,Not Available,Annual,National,Proportion of children under 5 years of age whose births have been registered with a civil authority [16.9.1],Viet Nam,under 5 years old,Rural,Percent,98.5
2019,Normal value,Units,Not Available,Annual,National,Proportion of children under 5 years of age whose births have been registered with a civil authority [16.9.1],Red River Delta,under 5 years old,,Percent,99.6
2019,Normal value,Units,Not Available,Annual,National,Proportion of children under 5 years of age whose births have been registered with a civil authority [16.9.1],Northern midlands and mountain areas,under 5 years old,,Percent,97.7
2019,Normal value,Units,Not Available,Annual,National,Proportion of children under 5 years of age whose births have been registered with a civil authority [16.9.1],Northern Central area and Central coastal area,under 5 years old,,Percent,99.2
2019,Normal value,Units,Not Available,Annual,National,Proportion of children under 5 years of age whose births have been registered with a civil authority [16.9.1],Central Highlands,under 5 years old,,Percent,97.1
2019,Normal value,Units,Not Available,Annual,National,Proportion of children under 5 years of age whose births have been registered with a civil authority [16.9.1],South East,under 5 years old,,Percent,99.2
2019,Normal value,Units,Not Available,Annual,National,Proportion of children under 5 years of age whose births have been registered with a civil authority [16.9.1],Mekong River Delta,under 5 years old,,Percent,98.2
