Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,AGE,URBANISATION,UNIT_MEASURE,Value
2010,A,0,_X,A,N,SH_STA_WAST,VN,,Y0T4,,PT,6.8
2013,A,0,_X,A,N,SH_STA_WAST,VN,,Y0T4,,PT,6.6
2014,A,0,_X,A,N,SH_STA_WAST,VN,,Y0T4,,PT,6.8
2015,A,0,_X,A,N,SH_STA_WAST,VN,,Y0T4,,PT,6.4
2016,A,0,_X,A,N,SH_STA_WAST,VN,,Y0T4,,PT,6.3
2017,A,0,_X,A,N,SH_STA_WAST,VN,,Y0T4,,PT,6.2
2018,A,0,_X,A,N,SH_STA_WAST,VN,,Y0T4,,PT,6.1
2019,A,0,_X,A,N,SH_STA_WAST,VN,,Y0T4,,PT,5.1
2010,A,0,_X,A,N,SH_STA_WAST,VN,M,Y0T4,,PT,7.5
2013,A,0,_X,A,N,SH_STA_WAST,VN,M,Y0T4,,PT,..
2014,A,0,_X,A,N,SH_STA_WAST,VN,M,Y0T4,,PT,7.5
2015,A,0,_X,A,N,SH_STA_WAST,VN,M,Y0T4,,PT,6.9
2016,A,0,_X,A,N,SH_STA_WAST,VN,M,Y0T4,,PT,6.8
2017,A,0,_X,A,N,SH_STA_WAST,VN,M,Y0T4,,PT,6.9
2018,A,0,_X,A,N,SH_STA_WAST,VN,M,Y0T4,,PT,6.5
2019,A,0,_X,A,N,SH_STA_WAST,VN,M,Y0T4,,PT,5.6
2010,A,0,_X,A,N,SH_STA_WAST,VN,F,Y0T4,,PT,6.2
2013,A,0,_X,A,N,SH_STA_WAST,VN,F,Y0T4,,PT,..
2014,A,0,_X,A,N,SH_STA_WAST,VN,F,Y0T4,,PT,6.2
2015,A,0,_X,A,N,SH_STA_WAST,VN,F,Y0T4,,PT,5.8
2016,A,0,_X,A,N,SH_STA_WAST,VN,F,Y0T4,,PT,5.7
2017,A,0,_X,A,N,SH_STA_WAST,VN,F,Y0T4,,PT,5.8
2018,A,0,_X,A,N,SH_STA_WAST,VN,F,Y0T4,,PT,5.7
2019,A,0,_X,A,N,SH_STA_WAST,VN,F,Y0T4,,PT,4.6
2010,A,0,_X,A,N,SH_STA_WAST,VN,,Y0T4,U,PT,5.7
2013,A,0,_X,A,N,SH_STA_WAST,VN,,Y0T4,U,PT,..
2014,A,0,_X,A,N,SH_STA_WAST,VN,,Y0T4,U,PT,5.7
2015,A,0,_X,A,N,SH_STA_WAST,VN,,Y0T4,U,PT,5.2
2016,A,0,_X,A,N,SH_STA_WAST,VN,,Y0T4,U,PT,5.1
2017,A,0,_X,A,N,SH_STA_WAST,VN,,Y0T4,U,PT,5.1
2018,A,0,_X,A,N,SH_STA_WAST,VN,,Y0T4,U,PT,4.8
2019,A,0,_X,A,N,SH_STA_WAST,VN,,Y0T4,U,PT,4.5
2010,A,0,_X,A,N,SH_STA_WAST,VN,,Y0T4,R,PT,8.5
2013,A,0,_X,A,N,SH_STA_WAST,VN,,Y0T4,R,PT,..
2014,A,0,_X,A,N,SH_STA_WAST,VN,,Y0T4,R,PT,8.5
2015,A,0,_X,A,N,SH_STA_WAST,VN,,Y0T4,R,PT,8.4
2016,A,0,_X,A,N,SH_STA_WAST,VN,,Y0T4,R,PT,8.3
2017,A,0,_X,A,N,SH_STA_WAST,VN,,Y0T4,R,PT,8.3
2018,A,0,_X,A,N,SH_STA_WAST,VN,,Y0T4,R,PT,6.7
2019,A,0,_X,A,N,SH_STA_WAST,VN,,Y0T4,R,PT,7.2
