Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,Degree of urbanisation,UNIT_MEASURE,Value
2016,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Viet Nam,,Percent,9.2
2017,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Viet Nam,,Percent,7.9
2018,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Viet Nam,,Percent,6.8
2019,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Viet Nam,,Percent,5.7
2016,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Viet Nam,Urban,Percent,3.5
2017,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Viet Nam,Urban,Percent,2.7
2018,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Viet Nam,Urban,Percent,1.5
2019,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Viet Nam,Urban,Percent,1.2
2016,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Viet Nam,Rural,Percent,11.8
2017,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Viet Nam,Rural,Percent,10.8
2018,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Viet Nam,Rural,Percent,9.6
2019,Normal value,Units,Not Available,Annual,National,Proportion of households living in multidimensional poverty [1.2.2],Viet Nam,Rural,Percent,8.0
