Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,Sex,Age,Degree of urbanisation,UNIT_MEASURE,Value
2014,Normal value,Units,Not Available,Annual,National,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Viet Nam,,15 years old and over,,Percent,58.8
2015,Normal value,Units,Not Available,Annual,National,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Viet Nam,,15 years old and over,,Percent,58.3
2016,Normal value,Units,Not Available,Annual,National,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Viet Nam,,15 years old and over,,Percent,57.2
2017,Normal value,Units,Not Available,Annual,National,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Viet Nam,,15 years old and over,,Percent,57.2
2018,Normal value,Units,Not Available,Annual,National,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Viet Nam,,15 years old and over,,Percent,56.2
2019,Normal value,Units,Not Available,Annual,National,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Viet Nam,,15 years old and over,,Percent,54.6
2016,Normal value,Units,Not Available,Annual,National,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Viet Nam,Male,15 years old and over,,Percent,60.7
2017,Normal value,Units,Not Available,Annual,National,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Viet Nam,Male,15 years old and over,,Percent,61.3
2018,Normal value,Units,Not Available,Annual,National,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Viet Nam,Male,15 years old and over,,Percent,60.3
2019,Normal value,Units,Not Available,Annual,National,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Viet Nam,Male,15 years old and over,,Percent,60.2
2016,Normal value,Units,Not Available,Annual,National,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Viet Nam,Female,15 years old and over,,Percent,53.3
2017,Normal value,Units,Not Available,Annual,National,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Viet Nam,Female,15 years old and over,,Percent,52.6
2018,Normal value,Units,Not Available,Annual,National,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Viet Nam,Female,15 years old and over,,Percent,51.6
2019,Normal value,Units,Not Available,Annual,National,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Viet Nam,Female,15 years old and over,,Percent,51.2
2014,Normal value,Units,Not Available,Annual,National,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Viet Nam,,15 years old and over,Urban,Percent,49.2
2015,Normal value,Units,Not Available,Annual,National,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Viet Nam,,15 years old and over,Urban,Percent,49.3
2016,Normal value,Units,Not Available,Annual,National,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Viet Nam,,15 years old and over,Urban,Percent,48.5
2017,Normal value,Units,Not Available,Annual,National,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Viet Nam,,15 years old and over,Urban,Percent,48.8
2018,Normal value,Units,Not Available,Annual,National,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Viet Nam,,15 years old and over,Urban,Percent,48.1
2019,Normal value,Units,Not Available,Annual,National,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Viet Nam,,15 years old and over,Urban,Percent,46.3
2014,Normal value,Units,Not Available,Annual,National,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Viet Nam,,15 years old and over,Rural,Percent,67.7
2015,Normal value,Units,Not Available,Annual,National,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Viet Nam,,15 years old and over,Rural,Percent,66.5
2016,Normal value,Units,Not Available,Annual,National,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Viet Nam,,15 years old and over,Rural,Percent,65.2
2017,Normal value,Units,Not Available,Annual,National,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Viet Nam,,15 years old and over,Rural,Percent,64.5
2018,Normal value,Units,Not Available,Annual,National,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Viet Nam,,15 years old and over,Rural,Percent,62.9
2019,Normal value,Units,Not Available,Annual,National,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",Viet Nam,,15 years old and over,Rural,Percent,61.7
