Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2010,Normal value,Units,Not Available,Annual,National,Primary government expenditures as a proportion of original approved budget [16.6.1],Viet Nam,Percent,109.62
2011,Normal value,Units,Not Available,Annual,National,Primary government expenditures as a proportion of original approved budget [16.6.1],Viet Nam,Percent,104.54
2012,Normal value,Units,Not Available,Annual,National,Primary government expenditures as a proportion of original approved budget [16.6.1],Viet Nam,Percent,105.77
2013,Normal value,Units,Not Available,Annual,National,Primary government expenditures as a proportion of original approved budget [16.6.1],Viet Nam,Percent,111.38
2014,Normal value,Units,Not Available,Annual,National,Primary government expenditures as a proportion of original approved budget [16.6.1],Viet Nam,Percent,106.98
2015,Normal value,Units,Not Available,Annual,National,Primary government expenditures as a proportion of original approved budget [16.6.1],Viet Nam,Percent,107.53
2016,Normal value,Units,Not Available,Annual,National,Primary government expenditures as a proportion of original approved budget [16.6.1],Viet Nam,Percent,99.66
2017,Normal value,Units,Not Available,Annual,National,Primary government expenditures as a proportion of original approved budget [16.6.1],Viet Nam,Percent,95.79
2018,Normal value,Units,Not Available,Annual,National,Primary government expenditures as a proportion of original approved budget [16.6.1],Viet Nam,Percent,94.2
2019,Normal value,Units,Not Available,Annual,National,Primary government expenditures as a proportion of original approved budget [16.6.1],Viet Nam,Percent,107.02
