Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,Sex,Age,Degree of urbanisation,UNIT_MEASURE,Value
2010,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Viet Nam,,under 5 years old,,Percent,24.9
2013,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Viet Nam,,under 5 years old,,Percent,25.9
2014,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Viet Nam,,under 5 years old,,Percent,24.9
2015,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Viet Nam,,under 5 years old,,Percent,24.6
2016,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Viet Nam,,under 5 years old,,Percent,24.5
2017,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Viet Nam,,under 5 years old,,Percent,24.2
2018,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Viet Nam,,under 5 years old,,Percent,24.3
2019,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Viet Nam,,under 5 years old,,Percent,19.9
2010,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Viet Nam,Male,under 5 years old,,Percent,26.7
2013,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Viet Nam,Male,under 5 years old,,Percent,..
2014,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Viet Nam,Male,under 5 years old,,Percent,26.7
2015,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Viet Nam,Male,under 5 years old,,Percent,24.9
2016,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Viet Nam,Male,under 5 years old,,Percent,24.7
2017,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Viet Nam,Male,under 5 years old,,Percent,24.9
2018,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Viet Nam,Male,under 5 years old,,Percent,24.6
2019,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Viet Nam,Male,under 5 years old,,Percent,20.1
2010,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Viet Nam,Female,under 5 years old,,Percent,23.1
2013,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Viet Nam,Female,under 5 years old,,Percent,..
2014,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Viet Nam,Female,under 5 years old,,Percent,23.1
2015,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Viet Nam,Female,under 5 years old,,Percent,22.6
2016,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely stunted [2.2.1],Viet Nam,Female,under 5 years old,,Percent,22.5
