Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2010,Normal value,Units,Not Available,Annual,National,Forest area as a proportion of total land area [15.1.1],Viet Nam,Percent,39.5
2011,Normal value,Units,Not Available,Annual,National,Forest area as a proportion of total land area [15.1.1],Viet Nam,Percent,39.7
2012,Normal value,Units,Not Available,Annual,National,Forest area as a proportion of total land area [15.1.1],Viet Nam,Percent,40.7
2013,Normal value,Units,Not Available,Annual,National,Forest area as a proportion of total land area [15.1.1],Viet Nam,Percent,41.0
2014,Normal value,Units,Not Available,Annual,National,Forest area as a proportion of total land area [15.1.1],Viet Nam,Percent,40.4
2015,Normal value,Units,Not Available,Annual,National,Forest area as a proportion of total land area [15.1.1],Viet Nam,Percent,40.8
2016,Normal value,Units,Not Available,Annual,National,Forest area as a proportion of total land area [15.1.1],Viet Nam,Percent,41.2
2018,Normal value,Units,Not Available,Annual,National,Forest area as a proportion of total land area [15.1.1],Viet Nam,Percent,41.7
2019,Normal value,Units,Not Available,Annual,National,Forest area as a proportion of total land area [15.1.1],Viet Nam,Percent,41.9
2014,Normal value,Units,Not Available,Annual,National,Forest area as a proportion of total land area [15.1.1],Red River Delta,Percent,23.7
2015,Normal value,Units,Not Available,Annual,National,Forest area as a proportion of total land area [15.1.1],Red River Delta,Percent,21.5
2016,Normal value,Units,Not Available,Annual,National,Forest area as a proportion of total land area [15.1.1],Red River Delta,Percent,21.9
2018,Normal value,Units,Not Available,Annual,National,Forest area as a proportion of total land area [15.1.1],Red River Delta,Percent,22.0
2019,Normal value,Units,Not Available,Annual,National,Forest area as a proportion of total land area [15.1.1],Red River Delta,Percent,22.1
2014,Normal value,Units,Not Available,Annual,National,Forest area as a proportion of total land area [15.1.1],Northern midlands and mountain areas,Percent,50.5
2015,Normal value,Units,Not Available,Annual,National,Forest area as a proportion of total land area [15.1.1],Northern midlands and mountain areas,Percent,51.5
2016,Normal value,Units,Not Available,Annual,National,Forest area as a proportion of total land area [15.1.1],Northern midlands and mountain areas,Percent,51.1
2018,Normal value,Units,Not Available,Annual,National,Forest area as a proportion of total land area [15.1.1],Northern midlands and mountain areas,Percent,52.3
2019,Normal value,Units,Not Available,Annual,National,Forest area as a proportion of total land area [15.1.1],Northern midlands and mountain areas,Percent,53.1
2014,Normal value,Units,Not Available,Annual,National,Forest area as a proportion of total land area [15.1.1],Northern Central area and Central coastal area,Percent,51.9
2015,Normal value,Units,Not Available,Annual,National,Forest area as a proportion of total land area [15.1.1],Northern Central area and Central coastal area,Percent,51.5
2016,Normal value,Units,Not Available,Annual,National,Forest area as a proportion of total land area [15.1.1],Northern Central area and Central coastal area,Percent,56.5
2018,Normal value,Units,Not Available,Annual,National,Forest area as a proportion of total land area [15.1.1],Northern Central area and Central coastal area,Percent,53.3
2019,Normal value,Units,Not Available,Annual,National,Forest area as a proportion of total land area [15.1.1],Northern Central area and Central coastal area,Percent,54.0
2014,Normal value,Units,Not Available,Annual,National,Forest area as a proportion of total land area [15.1.1],Central Highlands,Percent,45.8
2015,Normal value,Units,Not Available,Annual,National,Forest area as a proportion of total land area [15.1.1],Central Highlands,Percent,46.1
2016,Normal value,Units,Not Available,Annual,National,Forest area as a proportion of total land area [15.1.1],Central Highlands,Percent,46.0
2018,Normal value,Units,Not Available,Annual,National,Forest area as a proportion of total land area [15.1.1],Central Highlands,Percent,46.0
2019,Normal value,Units,Not Available,Annual,National,Forest area as a proportion of total land area [15.1.1],Central Highlands,Percent,45.9
2014,Normal value,Units,Not Available,Annual,National,Forest area as a proportion of total land area [15.1.1],South East,Percent,19.9
2015,Normal value,Units,Not Available,Annual,National,Forest area as a proportion of total land area [15.1.1],South East,Percent,19.9
2016,Normal value,Units,Not Available,Annual,National,Forest area as a proportion of total land area [15.1.1],South East,Percent,19.3
2018,Normal value,Units,Not Available,Annual,National,Forest area as a proportion of total land area [15.1.1],South East,Percent,19.4
2019,Normal value,Units,Not Available,Annual,National,Forest area as a proportion of total land area [15.1.1],South East,Percent,19.4
2014,Normal value,Units,Not Available,Annual,National,Forest area as a proportion of total land area [15.1.1],Mekong River Delta,Percent,5.9
2015,Normal value,Units,Not Available,Annual,National,Forest area as a proportion of total land area [15.1.1],Mekong River Delta,Percent,5.6
2016,Normal value,Units,Not Available,Annual,National,Forest area as a proportion of total land area [15.1.1],Mekong River Delta,Percent,4.4
2018,Normal value,Units,Not Available,Annual,National,Forest area as a proportion of total land area [15.1.1],Mekong River Delta,Percent,5.3
2019,Normal value,Units,Not Available,Annual,National,Forest area as a proportion of total land area [15.1.1],Mekong River Delta,Percent,5.4
2010,Normal value,Units,Not Available,Annual,National,Forest area as a proportion of total land area [15.1.1],Ha Noi,Percent,7.0
2011,Normal value,Units,Not Available,Annual,National,Forest area as a proportion of total land area [15.1.1],Ha Noi,Percent,7.0
