Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,Sex,UNIT_MEASURE,Value
2014,Normal value,Units,Not Available,Annual,National,Suicide mortality rate [3.4.2],Viet Nam,,Per 100 population,5.86
2015,Normal value,Units,Not Available,Annual,National,Suicide mortality rate [3.4.2],Viet Nam,,Per 100 population,5.87
2016,Normal value,Units,Not Available,Annual,National,Suicide mortality rate [3.4.2],Viet Nam,,Per 100 population,5.73
2017,Normal value,Units,Not Available,Annual,National,Suicide mortality rate [3.4.2],Viet Nam,,Per 100 population,5.32
2014,Normal value,Units,Not Available,Annual,National,Suicide mortality rate [3.4.2],Viet Nam,Male,Per 100 population,7.96
2015,Normal value,Units,Not Available,Annual,National,Suicide mortality rate [3.4.2],Viet Nam,Male,Per 100 population,8.17
2016,Normal value,Units,Not Available,Annual,National,Suicide mortality rate [3.4.2],Viet Nam,Male,Per 100 population,7.84
2017,Normal value,Units,Not Available,Annual,National,Suicide mortality rate [3.4.2],Viet Nam,Male,Per 100 population,7.54
2014,Normal value,Units,Not Available,Annual,National,Suicide mortality rate [3.4.2],Viet Nam,Female,Per 100 population,3.79
2015,Normal value,Units,Not Available,Annual,National,Suicide mortality rate [3.4.2],Viet Nam,Female,Per 100 population,3.7
2016,Normal value,Units,Not Available,Annual,National,Suicide mortality rate [3.4.2],Viet Nam,Female,Per 100 population,3.6
2017,Normal value,Units,Not Available,Annual,National,Suicide mortality rate [3.4.2],Viet Nam,Female,Per 100 population,3.12
