Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,Sex,Age,Degree of urbanisation,UNIT_MEASURE,Value
2010,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely wasted [2.2.2],Viet Nam,,under 5 years old,,Percent,6.8
2013,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely wasted [2.2.2],Viet Nam,,under 5 years old,,Percent,6.6
2014,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely wasted [2.2.2],Viet Nam,,under 5 years old,,Percent,6.8
2015,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely wasted [2.2.2],Viet Nam,,under 5 years old,,Percent,6.4
2016,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely wasted [2.2.2],Viet Nam,,under 5 years old,,Percent,6.3
2017,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely wasted [2.2.2],Viet Nam,,under 5 years old,,Percent,6.2
2018,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely wasted [2.2.2],Viet Nam,,under 5 years old,,Percent,6.1
2019,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely wasted [2.2.2],Viet Nam,,under 5 years old,,Percent,5.1
2010,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely wasted [2.2.2],Viet Nam,Male,under 5 years old,,Percent,7.5
2013,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely wasted [2.2.2],Viet Nam,Male,under 5 years old,,Percent,..
2014,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely wasted [2.2.2],Viet Nam,Male,under 5 years old,,Percent,7.5
2015,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely wasted [2.2.2],Viet Nam,Male,under 5 years old,,Percent,6.9
2016,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely wasted [2.2.2],Viet Nam,Male,under 5 years old,,Percent,6.8
2017,Normal value,Units,Not Available,Annual,National,Proportion of children moderately or severely wasted [2.2.2],Viet Nam,Male,under 5 years old,,Percent,6.9
