Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2010,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Viet Nam,Number,11060
2011,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Viet Nam,Number,10800
2012,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Viet Nam,Number,9540
2013,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Viet Nam,Number,9627
2014,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Viet Nam,Number,8845
2015,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Viet Nam,Number,8435
2016,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Viet Nam,Number,8417
2017,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Viet Nam,Number,8089
2018,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Viet Nam,Number,8079
2019,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Viet Nam,Number,7472
2010,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Ha Noi,Number,754
2011,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Ha Noi,Number,714
2012,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Ha Noi,Number,585
2013,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Ha Noi,Number,626
2014,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Ha Noi,Number,584
2015,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Ha Noi,Number,567
2016,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Ha Noi,Number,0
2017,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Ha Noi,Number,562
2018,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Ha Noi,Number,532
2019,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Ha Noi,Number,493
2010,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Vinh Phuc,Number,86
2011,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Vinh Phuc,Number,84
2012,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Vinh Phuc,Number,52
2013,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Vinh Phuc,Number,47
2014,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Vinh Phuc,Number,40
2015,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Vinh Phuc,Number,36
2016,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Vinh Phuc,Number,37
2017,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Vinh Phuc,Number,50
2018,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Vinh Phuc,Number,33
2019,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Vinh Phuc,Number,31
2010,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Bac Ninh,Number,179
2011,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Bac Ninh,Number,104
2012,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Bac Ninh,Number,108
2013,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Bac Ninh,Number,109
2014,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Bac Ninh,Number,104
2015,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Bac Ninh,Number,97
2016,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Bac Ninh,Number,89
2017,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Bac Ninh,Number,87
2018,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Bac Ninh,Number,83
2019,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Bac Ninh,Number,80
2010,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Quang Ninh,Number,162
2011,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Quang Ninh,Number,129
2012,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Quang Ninh,Number,128
2013,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Quang Ninh,Number,112
2014,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Quang Ninh,Number,92
2015,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Quang Ninh,Number,86
2016,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Quang Ninh,Number,81
2017,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Quang Ninh,Number,115
2018,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Quang Ninh,Number,66
2019,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Quang Ninh,Number,66
2010,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Hai Duong,Number,226
2011,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Hai Duong,Number,195
2012,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Hai Duong,Number,172
2013,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Hai Duong,Number,159
2014,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Hai Duong,Number,154
2015,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Hai Duong,Number,130
2016,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Hai Duong,Number,188
2017,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Hai Duong,Number,90
2018,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Hai Duong,Number,189
2019,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Hai Duong,Number,201
2010,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Hai Phong,Number,130
2011,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Hai Phong,Number,126
2012,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Hai Phong,Number,104
2013,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Hai Phong,Number,96
2014,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Hai Phong,Number,92
2015,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Hai Phong,Number,84
2016,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Hai Phong,Number,87
2017,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Hai Phong,Number,71
2018,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Hai Phong,Number,83
2019,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Hai Phong,Number,77
2010,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Hung Yen,Number,183
2011,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Hung Yen,Number,173
2012,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Hung Yen,Number,146
2013,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Hung Yen,Number,149
2014,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Hung Yen,Number,134
2015,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Hung Yen,Number,115
2016,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Hung Yen,Number,112
2017,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Hung Yen,Number,83
2018,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Hung Yen,Number,111
2019,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Hung Yen,Number,110
2010,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Thai Binh,Number,65
2011,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Thai Binh,Number,64
2012,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Thai Binh,Number,60
2013,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Thai Binh,Number,72
2014,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Thai Binh,Number,70
2015,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Thai Binh,Number,68
2016,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Thai Binh,Number,67
2017,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Thai Binh,Number,81
2018,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Thai Binh,Number,65
2019,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Thai Binh,Number,62
2010,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Ha Nam,Number,95
2011,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Ha Nam,Number,88
2012,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Ha Nam,Number,88
2013,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Ha Nam,Number,88
2014,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Ha Nam,Number,89
2015,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Ha Nam,Number,76
2016,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Ha Nam,Number,80
2017,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Ha Nam,Number,77
2018,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Ha Nam,Number,75
2019,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Ha Nam,Number,73
2010,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Nam Dinh,Number,74
2011,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Nam Dinh,Number,64
2012,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Nam Dinh,Number,67
2013,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Nam Dinh,Number,67
2014,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Nam Dinh,Number,64
2015,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Nam Dinh,Number,64
2016,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Nam Dinh,Number,62
2017,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Nam Dinh,Number,189
2018,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Nam Dinh,Number,60
2019,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Nam Dinh,Number,53
2010,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Ninh Binh,Number,92
2011,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Ninh Binh,Number,80
2012,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Ninh Binh,Number,73
2013,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Ninh Binh,Number,70
2014,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Ninh Binh,Number,66
2015,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Ninh Binh,Number,54
2016,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Ninh Binh,Number,52
2017,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Ninh Binh,Number,54
2018,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Ninh Binh,Number,44
2019,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Ninh Binh,Number,39
2010,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Ha Giang,Number,63
2011,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Ha Giang,Number,94
2012,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Ha Giang,Number,70
2013,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Ha Giang,Number,66
2014,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Ha Giang,Number,65
2015,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Ha Giang,Number,43
2016,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Ha Giang,Number,54
2017,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Ha Giang,Number,44
2018,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Ha Giang,Number,30
2019,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Ha Giang,Number,24
2010,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Cao Bang,Number,54
2011,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Cao Bang,Number,61
2012,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Cao Bang,Number,51
2013,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Cao Bang,Number,73
2014,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Cao Bang,Number,54
2015,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Cao Bang,Number,46
2016,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Cao Bang,Number,52
2017,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Cao Bang,Number,43
2018,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Cao Bang,Number,48
2019,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Cao Bang,Number,40
2010,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Bac Kan,Number,28
2011,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Bac Kan,Number,28
2012,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Bac Kan,Number,34
2013,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Bac Kan,Number,26
2014,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Bac Kan,Number,21
2015,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Bac Kan,Number,31
2016,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Bac Kan,Number,34
2017,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Bac Kan,Number,21
2018,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Bac Kan,Number,29
2019,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Bac Kan,Number,25
2010,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Tuyen Quang,Number,72
2011,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Tuyen Quang,Number,64
2012,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Tuyen Quang,Number,69
2013,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Tuyen Quang,Number,62
2014,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Tuyen Quang,Number,61
2015,Normal value,Units,Not Available,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Tuyen Quang,Number,59
