Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,Sex,Age,Degree of urbanisation,UNIT_MEASURE,Value
2010,Normal value,Units,Not Available,Annual,National,Proportion of women aged 20-24 years who were married or in a union before age 15 [5.3.1],Viet Nam,Female,20 to 24 years old,,Percent,0.5
2014,Normal value,Units,Not Available,Annual,National,Proportion of women aged 20-24 years who were married or in a union before age 15 [5.3.1],Viet Nam,Female,20 to 24 years old,,Percent,0.9
2019,Normal value,Units,Not Available,Annual,National,Proportion of women aged 20-24 years who were married or in a union before age 15 [5.3.1],Viet Nam,Female,20 to 24 years old,,Percent,0.4
2019,Normal value,Units,Not Available,Annual,National,Proportion of women aged 20-24 years who were married or in a union before age 15 [5.3.1],Viet Nam,Female,20 to 24 years old,Urban,Percent,0.1
2019,Normal value,Units,Not Available,Annual,National,Proportion of women aged 20-24 years who were married or in a union before age 15 [5.3.1],Viet Nam,Female,20 to 24 years old,Rural,Percent,0.5
2010,Normal value,Units,Not Available,Annual,National,Proportion of women aged 20-24 years who were married or in a union before age 18 [5.3.1],Viet Nam,Female,20 to 24 years old,,Percent,9.3
2014,Normal value,Units,Not Available,Annual,National,Proportion of women aged 20-24 years who were married or in a union before age 18 [5.3.1],Viet Nam,Female,20 to 24 years old,,Percent,10.6
2019,Normal value,Units,Not Available,Annual,National,Proportion of women aged 20-24 years who were married or in a union before age 18 [5.3.1],Viet Nam,Female,20 to 24 years old,,Percent,9.1
2019,Normal value,Units,Not Available,Annual,National,Proportion of women aged 20-24 years who were married or in a union before age 18 [5.3.1],Viet Nam,Female,20 to 24 years old,Urban,Percent,3.7
2019,Normal value,Units,Not Available,Annual,National,Proportion of women aged 20-24 years who were married or in a union before age 18 [5.3.1],Viet Nam,Female,20 to 24 years old,Rural,Percent,12.6
